Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
UFLEX,2020-12-11,384.0,22,50.4,111.0,35.0,116.0,"Rank #22 of 460 by 6m-return/volatility | 6m +111%, vol ~35%/yr, 5y +116% (not over-extended)",314.8,-18%,400.0,314.8,2021-01-13,377.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 377,-2.4
SUVENPHAR,2020-12-11,447.6,23,50.31,142.0,45.0,n/a,"Rank #23 of 460 by 6m-return/volatility | 6m +142%, vol ~45%/yr",367.0,-18% ->BE@+15%,528.7,447.6,2021-01-13,483.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 483,7.4
VARROC,2020-12-11,393.5,18,52.76,147.0,44.0,n/a,"Rank #18 of 460 by 6m-return/volatility | 6m +147%, vol ~44%/yr",322.7,-18%,405.3,322.7,2021-01-13,397.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 398,0.5
EVEREADY,2020-12-11,192.4,9,61.03,155.0,40.0,-34.0,"Rank #9 of 460 by 6m-return/volatility | 6m +155%, vol ~40%/yr, 5y -34% (not over-extended)",157.7,-18%,216.5,157.7,2021-01-13,202.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 203,4.7
AFFLE,2020-12-11,746.2,16,54.12,147.0,43.0,n/a,"Rank #16 of 460 by 6m-return/volatility | 6m +147%, vol ~43%/yr",611.8,-18%,830.4,611.8,2021-01-13,773.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 773,3.0
CAMLINFINE,2020-12-11,79.5,7,66.07,186.0,45.0,19.0,"Rank #7 of 460 by 6m-return/volatility | 6m +186%, vol ~45%/yr, 5y +19% (not over-extended)",65.2,-18%,90.0,65.2,2021-01-13,81.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 81,1.6
JSLHISAR,2020-12-11,133.0,20,51.61,151.0,46.0,n/a,"Rank #20 of 460 by 6m-return/volatility | 6m +151%, vol ~46%/yr",109.1,-18% ->BE@+15%,164.8,133.0,2021-01-13,156.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 157,17.3
CYIENT,2020-12-11,496.7,15,54.14,135.0,40.0,1.0,"Rank #15 of 460 by 6m-return/volatility | 6m +135%, vol ~40%/yr, 5y +1% (not over-extended)",407.3,-18%,562.8,407.3,2021-01-13,518.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 518,3.8
INTELLECT,2020-12-11,277.5,3,86.63,197.0,36.0,22.0,"Rank #3 of 460 by 6m-return/volatility | 6m +197%, vol ~36%/yr, 5y +22% (not over-extended)",227.5,-18% ->BE@+15%,320.2,277.5,2020-12-21,277.5,STOP_LOSS,"Stop-loss hit at 277; had peaked +15%, SL trailed to 277",-0.6
TEJASNET,2020-12-11,346.2,21,51.23,183.0,57.0,n/a,"Rank #21 of 460 by 6m-return/volatility | 6m +183%, vol ~57%/yr",283.9,-18% ->BE@+15%,438.6,346.2,2021-02-15,413.9,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 414,18.9
